sequence_number,score,value
266,80.93,01:21.33
267,80.90,01:21.34
268,80.87,01:21.35
269,80.84,01:21.36
270,80.81,01:21.37
271,80.78,01:21.38
272,80.76,01:21.39
273,80.73,01:21.40
274,80.70,01:21.41
275,80.67,01:21.42
276,80.64,01:21.43
277,80.61,01:21.44
278,80.58,01:21.45
279,80.55,01:21.46
280,80.52,01:21.47
281,80.49,01:21.48
282,80.47,01:21.49
283,80.44,01:21.50
284,80.41,01:21.51
285,80.38,01:21.52
286,80.35,01:21.53
287,80.32,01:21.54
288,80.29,01:21.55
289,80.26,01:21.56
290,80.23,01:21.57
291,80.20,01:21.58
292,80.17,01:21.59
293,80.15,01:21.60
294,80.12,01:21.61
295,80.09,01:21.62
296,80.06,01:21.63
297,80.03,01:21.64
298,80.00,01:21.65
299,79.97,01:21.66
300,79.94,01:21.67
301,79.91,01:21.68
302,79.88,01:21.69
303,79.85,01:21.70
304,79.82,01:21.71
305,79.79,01:21.72
306,79.76,01:21.73
307,79.73,01:21.74
308,79.70,01:21.75
309,79.67,01:21.76
310,79.64,01:21.77
311,79.61,01:21.78
312,79.58,01:21.79
313,79.55,01:21.80
314,79.52,01:21.81
315,79.49,01:21.82
316,79.46,01:21.83
317,79.43,01:21.84
318,79.40,01:21.85
319,79.37,01:21.86
320,79.34,01:21.87
321,79.31,01:21.88
322,79.28,01:21.89
323,79.25,01:21.90
324,79.22,01:21.91
325,79.19,01:21.92
326,79.16,01:21.93
327,79.13,01:21.94
328,79.10,01:21.95
329,79.07,01:21.96
330,79.04,01:21.97
331,79.01,01:21.98
332,78.98,01:21.99
333,78.95,01:22.00
334,78.92,01:22.01
335,78.89,01:22.02
336,78.86,01:22.03
337,78.83,01:22.04
338,78.80,01:22.05
339,78.77,01:22.06
340,78.73,01:22.07
341,78.70,01:22.08
342,78.67,01:22.09
343,78.64,01:22.10
344,78.61,01:22.11
345,78.58,01:22.12
346,78.55,01:22.13
347,78.52,01:22.14
348,78.49,01:22.15
349,78.46,01:22.16
350,78.43,01:22.17
351,78.40,01:22.18
352,78.37,01:22.19
353,78.34,01:22.20
354,78.31,01:22.21
355,78.28,01:22.22
356,78.25,01:22.23
357,78.22,01:22.24
358,78.19,01:22.25
359,78.16,01:22.26
360,78.13,01:22.27
361,78.10,01:22.28
362,78.07,01:22.29
363,78.04,01:22.30
364,78.01,01:22.31
365,77.98,01:22.32
366,77.95,01:22.33
367,77.92,01:22.34
368,77.89,01:22.35
369,77.86,01:22.36
370,77.83,01:22.37
371,77.80,01:22.38
372,77.77,01:22.39
373,77.74,01:22.40
374,77.71,01:22.41
375,77.68,01:22.42
376,77.65,01:22.43
377,77.62,01:22.44
378,77.59,01:22.45
379,77.56,01:22.46
380,77.53,01:22.47
381,77.50,01:22.48
382,77.47,01:22.49
383,77.44,01:22.50
384,77.41,01:22.51
385,77.38,01:22.52
386,77.35,01:22.53
387,77.31,01:22.54
388,77.28,01:22.55
389,77.25,01:22.56
390,77.22,01:22.57
391,77.19,01:22.58
392,77.16,01:22.59
393,77.13,01:22.60
394,77.10,01:22.61
395,77.07,01:22.62
396,77.04,01:22.63
397,77.01,01:22.64
398,76.98,01:22.65
399,76.94,01:22.66
400,76.91,01:22.67
401,76.88,01:22.68
402,76.85,01:22.69
403,76.82,01:22.70
404,76.79,01:22.71
405,76.76,01:22.72
406,76.73,01:22.73
407,76.70,01:22.74
408,76.67,01:22.75
409,76.64,01:22.76
410,76.60,01:22.77
411,76.57,01:22.78
412,76.54,01:22.79
413,76.51,01:22.80
414,76.48,01:22.81
415,76.45,01:22.82
416,76.42,01:22.83
417,76.39,01:22.84
418,76.36,01:22.85
419,76.33,01:22.86
420,76.30,01:22.87
421,76.27,01:22.88
422,76.23,01:22.89
423,76.20,01:22.90
424,76.17,01:22.91
425,76.14,01:22.92
426,76.11,01:22.93
427,76.08,01:22.94
428,76.05,01:22.95
429,76.02,01:22.96
430,75.99,01:22.97
431,75.96,01:22.98
432,75.93,01:22.99
433,75.90,01:23.00
434,75.86,01:23.01
435,75.83,01:23.02
436,75.80,01:23.03
437,75.77,01:23.04
438,75.74,01:23.05
439,75.71,01:23.06
440,75.68,01:23.07
441,75.65,01:23.08
442,75.62,01:23.09
443,75.59,01:23.10
444,75.56,01:23.11
445,75.52,01:23.12
446,75.49,01:23.13
447,75.46,01:23.14
448,75.43,01:23.15
449,75.40,01:23.16
450,75.37,01:23.17
451,75.34,01:23.18
452,75.31,01:23.19
453,75.28,01:23.20
454,75.25,01:23.21
455,75.22,01:23.22
456,75.19,01:23.23
457,75.15,01:23.24
458,75.12,01:23.25
459,75.09,01:23.26
460,75.06,01:23.27
461,75.03,01:23.28
462,75.00,01:23.29
463,74.97,01:23.30
464,74.94,01:23.31
465,74.90,01:23.32
466,74.87,01:23.33
467,74.84,01:23.34
468,74.81,01:23.35
469,66.96,01:25.70
470,66.93,01:25.71
471,66.89,01:25.72
472,66.86,01:25.73
473,66.82,01:25.74
474,66.79,01:25.75
475,66.75,01:25.76
476,66.71,01:25.77
477,66.68,01:25.78
478,66.64,01:25.79
479,66.61,01:25.80
480,66.57,01:25.81
481,66.54,01:25.82
482,66.50,01:25.83
483,66.46,01:25.84
484,66.43,01:25.85
485,66.39,01:25.86
486,66.36,01:25.87
487,66.32,01:25.88
488,66.29,01:25.89
489,66.25,01:25.90
490,66.21,01:25.91
491,66.18,01:25.92
492,66.14,01:25.93
493,66.11,01:25.94
494,66.07,01:25.95
495,66.04,01:25.96
496,66.00,01:25.97
497,65.96,01:25.98
498,65.93,01:25.99
499,65.89,01:26.00
500,65.86,01:26.01
501,65.82,01:26.02
502,65.79,01:26.03
503,65.75,01:26.04
504,65.71,01:26.05
505,65.68,01:26.06
506,65.64,01:26.07
507,65.61,01:26.08
508,65.57,01:26.09
509,65.54,01:26.10
510,65.50,01:26.11
511,65.46,01:26.12
512,65.43,01:26.13
513,65.39,01:26.14
514,65.36,01:26.15
515,65.32,01:26.16
516,65.29,01:26.17
517,65.25,01:26.18
518,65.21,01:26.19
519,65.18,01:26.20
520,65.14,01:26.21
521,65.11,01:26.22
522,65.07,01:26.23
523,65.04,01:26.24
524,65.00,01:26.25
525,64.96,01:26.26
526,64.93,01:26.27
527,64.89,01:26.28
528,64.85,01:26.29
529,64.81,01:26.30
530,64.78,01:26.31
531,64.74,01:26.32
532,64.70,01:26.33
533,64.66,01:26.34
534,64.63,01:26.35
535,64.59,01:26.36
536,64.55,01:26.37
537,64.51,01:26.38
538,64.48,01:26.39
539,64.44,01:26.40
540,64.40,01:26.41
541,64.37,01:26.42
542,64.33,01:26.43
543,64.29,01:26.44
544,64.25,01:26.45
545,64.22,01:26.46
546,64.18,01:26.47
547,64.14,01:26.48
548,64.10,01:26.49
549,64.07,01:26.50
550,64.03,01:26.51
551,63.99,01:26.52
552,63.96,01:26.53
553,63.92,01:26.54
554,63.88,01:26.55
555,63.84,01:26.56
556,63.81,01:26.57
557,63.77,01:26.58
558,63.73,01:26.59
559,63.69,01:26.60
560,63.66,01:26.61
561,63.62,01:26.62
562,63.58,01:26.63
563,63.54,01:26.64
564,63.51,01:26.65
565,63.47,01:26.66
566,63.43,01:26.67
567,63.40,01:26.68
568,63.36,01:26.69
569,63.32,01:26.70
570,63.28,01:26.71
571,63.25,01:26.72
572,63.21,01:26.73
573,63.17,01:26.74
574,63.13,01:26.75
575,63.10,01:26.76
576,63.06,01:26.77
577,63.02,01:26.78
578,62.99,01:26.79
579,62.95,01:26.80
580,62.91,01:26.81
581,62.87,01:26.82
582,62.84,01:26.83
583,62.80,01:26.84
584,62.76,01:26.85
585,62.72,01:26.86
586,62.69,01:26.87
587,62.65,01:26.88
588,62.61,01:26.89
589,62.57,01:26.90
590,62.54,01:26.91
