sequence_number,score,value
320,46.75,16.79
321,46.64,16.80
322,46.53,16.81
323,46.42,16.82
324,46.31,16.83
325,46.20,16.84
326,46.09,16.85
327,45.97,16.86
328,45.86,16.87
329,45.75,16.88
330,45.64,16.89
331,45.53,16.90
332,45.42,16.91
333,45.31,16.92
334,45.20,16.93
335,45.09,16.94
336,44.99,16.95
337,44.88,16.96
338,44.77,16.97
339,44.66,16.98
340,44.55,16.99
341,44.44,17.00
342,44.33,17.01
343,44.22,17.02
344,44.12,17.03
345,44.01,17.04
346,43.90,17.05
347,43.79,17.06
348,43.68,17.07
349,43.58,17.08
350,43.47,17.09
351,43.36,17.10
352,43.25,17.11
353,43.15,17.12
354,43.04,17.13
355,42.94,17.14
356,42.83,17.15
357,42.72,17.16
358,42.62,17.17
359,42.51,17.18
360,42.41,17.19
361,42.30,17.20
362,42.20,17.21
363,42.09,17.22
364,41.99,17.23
365,41.88,17.24
366,41.78,17.25
367,41.67,17.26
368,41.57,17.27
369,41.46,17.28
370,41.36,17.29
371,41.25,17.30
372,41.15,17.31
373,41.04,17.32
374,40.94,17.33
375,40.83,17.34
376,40.73,17.35
377,40.63,17.36
378,40.52,17.37
379,40.42,17.38
380,40.31,17.39
381,40.21,17.40
382,40.11,17.41
383,40.00,17.42
384,39.90,17.43
385,39.80,17.44
386,39.70,17.45
387,39.59,17.46
388,39.49,17.47
389,39.39,17.48
390,39.28,17.49
391,39.18,17.50
392,39.08,17.51
393,38.98,17.52
394,38.88,17.53
395,38.78,17.54
396,38.68,17.55
397,38.57,17.56
398,38.47,17.57
399,38.37,17.58
400,38.27,17.59
401,38.17,17.60
402,38.07,17.61
403,37.97,17.62
404,37.87,17.63
405,37.77,17.64
406,37.67,17.65
407,37.57,17.66
408,37.47,17.67
409,37.37,17.68
410,37.27,17.69
411,37.17,17.70
412,37.07,17.71
413,36.97,17.72
414,36.87,17.73
415,36.77,17.74
416,36.68,17.75
417,36.58,17.76
418,36.48,17.77
419,36.38,17.78
420,36.28,17.79
421,36.18,17.80
422,36.08,17.81
423,35.98,17.82
424,35.89,17.83
425,35.79,17.84
426,35.69,17.85
427,35.59,17.86
428,35.49,17.87
429,35.40,17.88
430,35.30,17.89
431,35.20,17.90
432,35.10,17.91
433,35.01,17.92
434,34.91,17.93
435,34.81,17.94
436,34.72,17.95
437,34.62,17.96
438,34.52,17.97
439,34.42,17.98
440,34.33,17.99
441,34.23,18.00
442,34.13,18.01
443,34.04,18.02
444,33.94,18.03
445,33.85,18.04
446,33.75,18.05
447,33.65,18.06
448,33.56,18.07
449,33.46,18.08
450,33.37,18.09
451,33.27,18.10
452,33.18,18.11
453,33.08,18.12
454,32.99,18.13
455,32.89,18.14
456,32.80,18.15
457,32.70,18.16
458,32.61,18.17
459,32.51,18.18
460,32.42,18.19
461,32.32,18.20
462,32.23,18.21
463,32.13,18.22
464,32.04,18.23
465,31.94,18.24
466,31.85,18.25
467,31.76,18.26
468,31.66,18.27
469,31.57,18.28
470,31.47,18.29
471,31.38,18.30
472,31.29,18.31
473,31.19,18.32
474,31.10,18.33
475,31.01,18.34
476,30.92,18.35
477,30.82,18.36
478,30.73,18.37
479,30.64,18.38
480,30.54,18.39
481,30.45,18.40
482,30.36,18.41
483,30.26,18.42
484,30.17,18.43
485,30.08,18.44
486,29.99,18.45
487,29.89,18.46
488,29.80,18.47
489,29.71,18.48
490,29.61,18.49
491,29.52,18.50
492,29.43,18.51
493,29.34,18.52
494,29.25,18.53
495,29.16,18.54
496,29.07,18.55
497,28.97,18.56
498,28.88,18.57
499,28.79,18.58
500,28.70,18.59
501,28.61,18.60
502,28.52,18.61
503,28.43,18.62
504,28.34,18.63
505,28.25,18.64
506,28.16,18.65
507,28.06,18.66
508,27.97,18.67
509,27.88,18.68
510,27.79,18.69
511,27.70,18.70
512,27.61,18.71
513,27.52,18.72
514,27.43,18.73
515,27.34,18.74
516,27.26,18.75
517,27.17,18.76
518,27.08,18.77
519,26.99,18.78
520,26.90,18.79
521,26.81,18.80
522,26.72,18.81
523,26.63,18.82
524,26.54,18.83
525,26.45,18.84
526,26.37,18.85
527,26.28,18.86
528,26.19,18.87
529,26.10,18.88
530,26.01,18.89
531,25.92,18.90
532,25.83,18.91
533,25.74,18.92
534,25.65,18.93
535,25.56,18.94
536,25.48,18.95
537,25.39,18.96
538,25.30,18.97
539,25.21,18.98
540,25.12,18.99
541,25.03,19.00
542,24.94,19.01
543,24.86,19.02
544,24.77,19.03
545,24.68,19.04
546,24.60,19.05
547,24.51,19.06
548,24.42,19.07
549,24.33,19.08
550,24.25,19.09
551,24.16,19.10
552,24.07,19.11
553,23.99,19.12
554,23.90,19.13
555,23.81,19.14
556,23.73,19.15
557,23.64,19.16
558,23.55,19.17
559,23.46,19.18
560,23.38,19.19
561,23.29,19.20
562,23.20,19.21
563,23.12,19.22
564,23.03,19.23
565,22.95,19.24
566,22.86,19.25
567,22.77,19.26
568,22.69,19.27
569,22.60,19.28
570,22.52,19.29
571,22.43,19.30
572,22.35,19.31
573,22.26,19.32
574,22.18,19.33
575,22.09,19.34
576,22.01,19.35
577,21.92,19.36
578,21.84,19.37
579,21.75,19.38
580,21.67,19.39
581,21.58,19.40
582,21.50,19.41
583,21.41,19.42
584,21.33,19.43
585,21.24,19.44
586,21.16,19.45
587,21.08,19.46
588,20.99,19.47
589,20.91,19.48
590,20.82,19.49
591,20.74,19.50
592,20.66,19.51
593,20.57,19.52
594,20.49,19.53
595,20.40,19.54
596,20.32,19.55
597,20.24,19.56
598,20.15,19.57
599,20.07,19.58
600,19.98,19.59
601,19.90,19.60
602,19.82,19.61
603,19.73,19.62
604,19.65,19.63
605,19.56,19.64
606,19.48,19.65
607,19.40,19.66
608,19.31,19.67
609,19.23,19.68
610,19.14,19.69
611,19.06,19.70
612,18.98,19.71
613,18.90,19.72
614,18.81,19.73
615,18.73,19.74
616,18.65,19.75
617,18.57,19.76
618,18.49,19.77
619,18.40,19.78
620,18.32,19.79
621,18.24,19.80
622,18.16,19.81
623,18.08,19.82
624,17.99,19.83
625,17.91,19.84
626,17.83,19.85
627,17.75,19.86
628,17.67,19.87
629,17.58,19.88
630,17.50,19.89
631,17.42,19.90
632,17.34,19.91
633,17.26,19.92
634,17.17,19.93
635,17.09,19.94
636,17.01,19.95
637,16.93,19.96
638,16.85,19.97
639,16.76,19.98
640,16.68,19.99
641,16.60,20.00
642,16.52,20.01
643,16.44,20.02
644,16.36,20.03
645,16.28,20.04
646,16.20,20.05
647,16.12,20.06
648,16.04,20.07
649,15.96,20.08
650,15.88,20.09
651,15.80,20.10
652,15.72,20.11
653,15.64,20.12
654,15.56,20.13
655,15.48,20.14
656,15.40,20.15
657,15.31,20.16
658,15.23,20.17
659,15.15,20.18
660,15.07,20.19
661,14.99,20.20
662,14.91,20.21
663,14.83,20.22
664,14.75,20.23
665,14.67,20.24
666,14.60,20.25
667,14.52,20.26
668,14.44,20.27
669,14.36,20.28
670,14.28,20.29
671,14.20,20.30
672,14.12,20.31
673,14.04,20.32
674,13.96,20.33
675,13.88,20.34
676,13.81,20.35
677,13.73,20.36
678,13.65,20.37
679,13.57,20.38
680,13.49,20.39
681,13.41,20.40
682,13.33,20.41
683,13.25,20.42
684,13.17,20.43
685,13.09,20.44
686,13.02,20.45
687,12.94,20.46
688,12.86,20.47
689,12.78,20.48
690,12.70,20.49
691,12.62,20.50
692,12.54,20.51
693,12.46,20.52
694,12.39,20.53
695,12.31,20.54
696,12.23,20.55
697,12.15,20.56
698,12.07,20.57
699,12.00,20.58
700,11.92,20.59
701,11.84,20.60
702,11.76,20.61
703,11.69,20.62
704,11.61,20.63
705,11.53,20.64
706,11.46,20.65
707,11.38,20.66
708,11.30,20.67
709,11.22,20.68
710,11.15,20.69
711,11.07,20.70
712,10.99,20.71
713,10.92,20.72
714,10.84,20.73
715,10.76,20.74
716,10.69,20.75
717,10.61,20.76
718,10.53,20.77
719,10.45,20.78
720,10.38,20.79
721,10.30,20.80
722,10.22,20.81
723,10.15,20.82
724,10.07,20.83
725,9.99,20.84
726,9.92,20.85
727,9.84,20.86
728,9.76,20.87
729,9.68,20.88
730,9.61,20.89
731,9.53,20.90
732,9.45,20.91
733,9.38,20.92
734,9.30,20.93
735,9.23,20.94
736,9.15,20.95
737,9.07,20.96
738,9.00,20.97
739,8.92,20.98
740,8.85,20.99
741,8.77,21.00
742,8.70,21.01
743,8.62,21.02
744,8.55,21.03
745,8.47,21.04
746,8.40,21.05
747,8.32,21.06
748,8.25,21.07
749,8.17,21.08
750,8.10,21.09
751,8.02,21.10
752,7.95,21.11
753,7.87,21.12
754,7.80,21.13
755,7.72,21.14
756,7.65,21.15
757,7.57,21.16
758,7.50,21.17
759,7.42,21.18
760,7.35,21.19
761,7.27,21.20
762,7.20,21.21
763,7.12,21.22
764,7.05,21.23
765,6.97,21.24
766,6.90,21.25
767,6.82,21.26
768,6.75,21.27
769,6.67,21.28
770,6.60,21.29
771,6.52,21.30
772,6.45,21.31
773,6.37,21.32
774,6.30,21.33
775,6.22,21.34
776,6.15,21.35
777,6.08,21.36
778,6.00,21.37
779,5.93,21.38
780,5.85,21.39
781,5.78,21.40
782,5.71,21.41
783,5.63,21.42
784,5.56,21.43
785,5.49,21.44
786,5.42,21.45
787,5.34,21.46
788,5.27,21.47
789,5.20,21.48
790,5.12,21.49
791,5.05,21.50
792,4.98,21.51
793,4.90,21.52
794,4.83,21.53
795,4.76,21.54
796,4.69,21.55
797,4.61,21.56
798,4.54,21.57
799,4.47,21.58
800,4.39,21.59
801,4.32,21.60
802,4.25,21.61
803,4.17,21.62
804,4.10,21.63
805,4.03,21.64
806,3.96,21.65
807,3.88,21.66
808,3.81,21.67
809,3.74,21.68
810,3.66,21.69
811,3.59,21.70
812,3.52,21.71
813,3.44,21.72
814,3.37,21.73
815,3.30,21.74
816,3.23,21.75
817,3.15,21.76
818,3.08,21.77
819,3.01,21.78
820,2.93,21.79
821,2.86,21.80
822,2.79,21.81
823,2.72,21.82
824,2.65,21.83
825,2.58,21.84
826,2.51,21.85
827,2.43,21.86
828,2.36,21.87
829,2.29,21.88
830,2.22,21.89
831,2.15,21.90
832,2.08,21.91
833,2.01,21.92
834,1.93,21.93
835,1.86,21.94
836,1.79,21.95
837,1.72,21.96
838,1.65,21.97
839,1.57,21.98
840,1.50,21.99
841,1.43,22.00
842,1.36,22.01
843,1.29,22.02
844,1.22,22.03
845,1.15,22.04
846,1.08,22.05
847,1.00,22.06
848,0.93,22.07
849,0.86,22.08
850,0.79,22.09
851,0.72,22.10
852,0.65,22.11
853,0.58,22.12
854,0.50,22.13
855,0.43,22.14
856,0.36,22.15
857,0.29,22.16
858,0.22,22.17
859,0.14,22.18
860,0.07,22.19
861,0.00,22.20
