sequence_number,score,value
266,90.83,01:32.65
267,90.80,01:32.66
268,90.76,01:32.67
269,90.72,01:32.68
270,90.69,01:32.69
271,90.65,01:32.70
272,90.62,01:32.71
273,90.58,01:32.72
274,90.54,01:32.73
275,90.51,01:32.74
276,90.47,01:32.75
277,90.43,01:32.76
278,90.40,01:32.77
279,90.36,01:32.78
280,90.33,01:32.79
281,90.29,01:32.80
282,90.25,01:32.81
283,90.22,01:32.82
284,90.18,01:32.83
285,90.14,01:32.84
286,90.11,01:32.85
287,90.07,01:32.86
288,90.04,01:32.87
289,90.00,01:32.88
290,89.96,01:32.89
291,89.93,01:32.90
292,89.89,01:32.91
293,89.85,01:32.92
294,89.81,01:32.93
295,89.78,01:32.94
296,89.74,01:32.95
297,89.70,01:32.96
298,89.66,01:32.97
299,89.63,01:32.98
300,89.59,01:32.99
301,89.55,01:33.00
302,89.51,01:33.01
303,89.48,01:33.02
304,89.44,01:33.03
305,89.40,01:33.04
306,89.37,01:33.05
307,89.33,01:33.06
308,89.29,01:33.07
309,89.25,01:33.08
310,89.22,01:33.09
311,89.18,01:33.10
312,89.14,01:33.11
313,89.10,01:33.12
314,89.07,01:33.13
315,89.03,01:33.14
316,88.99,01:33.15
317,88.96,01:33.16
318,88.92,01:33.17
319,88.88,01:33.18
320,88.84,01:33.19
321,88.81,01:33.20
322,88.77,01:33.21
323,88.73,01:33.22
324,88.69,01:33.23
325,88.66,01:33.24
326,88.62,01:33.25
327,88.58,01:33.26
328,88.54,01:33.27
329,88.51,01:33.28
330,88.47,01:33.29
331,88.43,01:33.30
332,88.40,01:33.31
333,88.36,01:33.32
334,88.32,01:33.33
335,88.28,01:33.34
336,88.25,01:33.35
337,88.21,01:33.36
338,88.17,01:33.37
339,88.13,01:33.38
340,88.10,01:33.39
341,88.06,01:33.40
342,88.02,01:33.41
343,87.99,01:33.42
344,87.95,01:33.43
345,87.91,01:33.44
346,87.87,01:33.45
347,87.84,01:33.46
348,87.80,01:33.47
349,87.76,01:33.48
350,87.72,01:33.49
351,87.69,01:33.50
352,87.65,01:33.51
353,87.61,01:33.52
354,87.57,01:33.53
355,87.54,01:33.54
356,87.50,01:33.55
357,87.46,01:33.56
358,87.42,01:33.57
359,87.38,01:33.58
360,87.35,01:33.59
361,87.31,01:33.60
362,87.27,01:33.61
363,87.23,01:33.62
364,87.19,01:33.63
365,87.15,01:33.64
366,87.12,01:33.65
367,87.08,01:33.66
368,87.04,01:33.67
369,87.00,01:33.68
370,86.96,01:33.69
371,86.92,01:33.70
372,86.88,01:33.71
373,86.85,01:33.72
374,86.81,01:33.73
375,86.77,01:33.74
376,86.73,01:33.75
377,86.69,01:33.76
378,86.65,01:33.77
379,86.62,01:33.78
380,86.58,01:33.79
381,86.54,01:33.80
382,86.50,01:33.81
383,86.46,01:33.82
384,86.42,01:33.83
385,86.38,01:33.84
386,86.35,01:33.85
387,86.31,01:33.86
388,86.27,01:33.87
389,86.23,01:33.88
390,86.19,01:33.89
391,86.15,01:33.90
392,86.12,01:33.91
393,86.08,01:33.92
394,86.04,01:33.93
395,86.00,01:33.94
396,85.96,01:33.95
397,85.92,01:33.96
398,85.88,01:33.97
399,85.85,01:33.98
400,85.81,01:33.99
401,85.77,01:34.00
402,85.73,01:34.01
