sequence_number,score,value
266,90.15,01:23.65
267,90.12,01:23.66
268,90.08,01:23.67
269,90.04,01:23.68
270,90.00,01:23.69
271,89.96,01:23.70
272,89.92,01:23.71
273,89.88,01:23.72
274,89.84,01:23.73
275,89.80,01:23.74
276,89.76,01:23.75
277,89.72,01:23.76
278,89.68,01:23.77
279,89.64,01:23.78
280,89.60,01:23.79
281,89.56,01:23.80
282,89.52,01:23.81
283,89.48,01:23.82
284,89.44,01:23.83
285,89.40,01:23.84
286,89.37,01:23.85
287,89.33,01:23.86
288,89.29,01:23.87
289,89.25,01:23.88
290,89.21,01:23.89
291,89.17,01:23.90
292,89.13,01:23.91
293,89.09,01:23.92
294,89.05,01:23.93
295,89.01,01:23.94
296,88.97,01:23.95
297,88.93,01:23.96
298,88.89,01:23.97
299,88.85,01:23.98
300,88.81,01:23.99
301,88.77,01:24.00
302,88.73,01:24.01
303,88.69,01:24.02
304,88.65,01:24.03
305,88.61,01:24.04
306,88.57,01:24.05
307,88.53,01:24.06
308,88.49,01:24.07
309,88.45,01:24.08
310,88.41,01:24.09
311,88.37,01:24.10
312,88.33,01:24.11
313,88.29,01:24.12
314,88.25,01:24.13
315,88.21,01:24.14
316,88.17,01:24.15
317,88.13,01:24.16
318,88.10,01:24.17
319,88.06,01:24.18
320,88.02,01:24.19
321,87.98,01:24.20
322,87.94,01:24.21
323,87.90,01:24.22
324,87.86,01:24.23
325,87.82,01:24.24
326,87.78,01:24.25
327,87.74,01:24.26
328,87.70,01:24.27
329,87.66,01:24.28
330,87.62,01:24.29
331,87.58,01:24.30
332,87.54,01:24.31
333,87.50,01:24.32
334,87.46,01:24.33
335,87.42,01:24.34
336,87.38,01:24.35
337,87.34,01:24.36
338,87.30,01:24.37
339,87.25,01:24.38
340,87.21,01:24.39
341,87.17,01:24.40
342,87.13,01:24.41
343,87.09,01:24.42
344,87.05,01:24.43
345,87.01,01:24.44
346,86.97,01:24.45
347,86.93,01:24.46
348,86.89,01:24.47
349,86.84,01:24.48
350,86.80,01:24.49
351,86.76,01:24.50
352,86.72,01:24.51
353,86.68,01:24.52
354,86.64,01:24.53
355,86.60,01:24.54
356,86.56,01:24.55
357,86.52,01:24.56
358,86.48,01:24.57
359,86.43,01:24.58
360,86.39,01:24.59
361,86.35,01:24.60
362,86.31,01:24.61
363,86.27,01:24.62
364,86.23,01:24.63
365,86.19,01:24.64
366,86.15,01:24.65
367,86.11,01:24.66
