sequence_number,score,value
320,60.12,16.23
321,60.00,16.24
322,59.87,16.25
323,59.75,16.26
324,59.62,16.27
325,59.50,16.28
326,59.38,16.29
327,59.25,16.30
328,59.13,16.31
329,59.00,16.32
330,58.88,16.33
331,58.76,16.34
332,58.63,16.35
333,58.50,16.36
334,58.38,16.37
335,58.25,16.38
336,58.13,16.39
337,58.00,16.40
338,57.87,16.41
339,57.75,16.42
340,57.63,16.43
341,57.51,16.44
342,57.38,16.45
343,57.26,16.46
344,57.13,16.47
345,57.01,16.48
346,56.89,16.49
347,56.76,16.50
348,56.64,16.51
349,56.51,16.52
350,56.39,16.53
351,56.27,16.54
352,56.14,16.55
353,56.01,16.56
354,55.89,16.57
355,55.76,16.58
356,55.64,16.59
357,55.51,16.60
358,55.38,16.61
359,55.26,16.62
360,55.14,16.63
361,55.02,16.64
362,54.89,16.65
363,54.77,16.66
364,54.64,16.67
365,54.52,16.68
366,54.40,16.69
367,54.27,16.70
368,54.15,16.71
369,54.02,16.72
370,53.90,16.73
371,53.78,16.74
372,53.65,16.75
373,53.52,16.76
374,53.40,16.77
375,53.28,16.78
376,53.16,16.79
377,53.03,16.80
378,52.91,16.81
379,52.78,16.82
380,52.66,16.83
381,52.54,16.84
382,52.41,16.85
383,52.29,16.86
384,52.16,16.87
385,52.04,16.88
386,51.92,16.89
387,51.79,16.90
388,51.66,16.91
389,51.54,16.92
390,51.42,16.93
391,51.30,16.94
392,51.17,16.95
393,51.05,16.96
394,50.92,16.97
395,50.80,16.98
396,50.68,16.99
397,50.55,17.00
398,50.43,17.01
399,50.30,17.02
400,50.18,17.03
401,50.06,17.04
402,49.93,17.05
403,49.80,17.06
404,49.68,17.07
405,49.56,17.08
406,49.44,17.09
407,49.31,17.10
408,49.19,17.11
409,49.06,17.12
410,48.94,17.13
411,48.82,17.14
412,48.69,17.15
413,48.57,17.16
414,48.44,17.17
415,48.32,17.18
416,48.20,17.19
417,48.07,17.20
418,47.94,17.21
419,47.82,17.22
420,47.70,17.23
421,47.58,17.24
422,47.45,17.25
423,47.33,17.26
424,47.20,17.27
425,47.08,17.28
426,46.96,17.29
427,46.83,17.30
428,46.71,17.31
429,46.58,17.32
430,46.46,17.33
431,46.33,17.34
432,46.20,17.35
433,46.08,17.36
434,45.95,17.37
435,45.83,17.38
436,45.71,17.39
437,45.58,17.40
438,45.45,17.41
439,45.33,17.42
440,45.21,17.43
441,45.09,17.44
442,44.96,17.45
443,44.84,17.46
444,44.71,17.47
445,44.59,17.48
446,44.47,17.49
447,44.34,17.50
448,44.22,17.51
449,44.09,17.52
450,43.97,17.53
451,43.85,17.54
452,43.72,17.55
453,43.59,17.56
454,43.47,17.57
455,43.35,17.58
456,43.23,17.59
457,43.10,17.60
458,42.98,17.61
459,42.85,17.62
460,42.73,17.63
461,42.61,17.64
462,42.48,17.65
