sequence_number,score,value
266,91.45,01:17.65
267,91.42,01:17.66
268,91.39,01:17.67
269,91.35,01:17.68
270,91.32,01:17.69
271,91.28,01:17.70
272,91.25,01:17.71
273,91.22,01:17.72
274,91.18,01:17.73
275,91.15,01:17.74
276,91.11,01:17.75
277,91.08,01:17.76
278,91.05,01:17.77
279,91.01,01:17.78
280,90.98,01:17.79
281,90.95,01:17.80
282,90.91,01:17.81
283,90.88,01:17.82
284,90.84,01:17.83
285,90.81,01:17.84
286,90.78,01:17.85
287,90.74,01:17.86
288,90.71,01:17.87
289,90.68,01:17.88
290,90.64,01:17.89
291,90.61,01:17.90
292,90.57,01:17.91
293,90.54,01:17.92
294,90.51,01:17.93
295,90.47,01:17.94
296,90.44,01:17.95
297,90.41,01:17.96
298,90.37,01:17.97
299,90.34,01:17.98
300,90.30,01:17.99
301,90.27,01:18.00
302,90.24,01:18.01
303,90.20,01:18.02
304,90.17,01:18.03
305,90.14,01:18.04
306,90.10,01:18.05
307,90.07,01:18.06
308,90.03,01:18.07
309,90.00,01:18.08
310,89.97,01:18.09
311,89.93,01:18.10
312,89.90,01:18.11
313,89.86,01:18.12
314,89.83,01:18.13
315,89.79,01:18.14
316,89.76,01:18.15
317,89.72,01:18.16
318,89.69,01:18.17
319,89.65,01:18.18
320,89.62,01:18.19
321,89.58,01:18.20
322,89.55,01:18.21
323,89.51,01:18.22
324,89.48,01:18.23
325,89.44,01:18.24
326,89.41,01:18.25
327,89.37,01:18.26
328,89.34,01:18.27
329,89.31,01:18.28
330,89.27,01:18.29
331,89.24,01:18.30
332,89.20,01:18.31
333,89.17,01:18.32
334,89.13,01:18.33
335,89.10,01:18.34
336,89.06,01:18.35
337,89.03,01:18.36
338,88.99,01:18.37
339,88.96,01:18.38
340,88.92,01:18.39
341,88.89,01:18.40
342,88.85,01:18.41
343,88.82,01:18.42
344,88.78,01:18.43
345,88.75,01:18.44
346,88.72,01:18.45
347,88.68,01:18.46
348,88.65,01:18.47
349,88.61,01:18.48
350,88.58,01:18.49
351,88.54,01:18.50
352,88.51,01:18.51
353,88.47,01:18.52
354,88.44,01:18.53
355,88.40,01:18.54
356,88.37,01:18.55
357,88.33,01:18.56
358,88.30,01:18.57
359,88.26,01:18.58
360,88.23,01:18.59
361,88.19,01:18.60
362,88.16,01:18.61
363,88.12,01:18.62
364,88.09,01:18.63
365,88.06,01:18.64
366,88.02,01:18.65
367,87.99,01:18.66
368,87.95,01:18.67
369,87.92,01:18.68
370,87.88,01:18.69
371,87.85,01:18.70
372,87.81,01:18.71
373,87.78,01:18.72
374,87.74,01:18.73
375,87.71,01:18.74
376,87.67,01:18.75
377,87.64,01:18.76
378,87.60,01:18.77
379,87.57,01:18.78
380,87.53,01:18.79
381,87.50,01:18.80
382,87.46,01:18.81
383,87.43,01:18.82
384,87.39,01:18.83
385,87.36,01:18.84
386,87.32,01:18.85
387,87.29,01:18.86
388,87.25,01:18.87
389,87.21,01:18.88
390,87.18,01:18.89
391,87.14,01:18.90
392,87.11,01:18.91
393,87.07,01:18.92
394,87.04,01:18.93
395,87.00,01:18.94
396,86.96,01:18.95
397,86.93,01:18.96
398,86.89,01:18.97
399,86.86,01:18.98
400,86.82,01:18.99
401,86.79,01:19.00
402,86.75,01:19.01
403,86.71,01:19.02
404,86.68,01:19.03
405,86.64,01:19.04
406,86.61,01:19.05
407,86.57,01:19.06
408,86.54,01:19.07
409,86.50,01:19.08
410,86.46,01:19.09
411,86.43,01:19.10
412,86.39,01:19.11
413,86.36,01:19.12
414,86.32,01:19.13
415,86.29,01:19.14
416,86.25,01:19.15
417,86.21,01:19.16
418,86.18,01:19.17
419,86.14,01:19.18
420,86.11,01:19.19
421,86.07,01:19.20
422,86.04,01:19.21
423,86.00,01:19.22
424,85.96,01:19.23
425,85.93,01:19.24
426,85.89,01:19.25
427,85.86,01:19.26
428,85.82,01:19.27
429,85.79,01:19.28
430,85.75,01:19.29
431,85.71,01:19.30
432,85.68,01:19.31
433,85.64,01:19.32
434,85.61,01:19.33
435,85.57,01:19.34
436,85.54,01:19.35
437,85.50,01:19.36
438,85.46,01:19.37
439,85.43,01:19.38
440,85.39,01:19.39
441,85.36,01:19.40
442,85.32,01:19.41
443,85.29,01:19.42
444,85.25,01:19.43
445,85.21,01:19.44
446,85.18,01:19.45
447,85.14,01:19.46
448,85.11,01:19.47
449,85.07,01:19.48
450,85.04,01:19.49
451,85.00,01:19.50
452,84.96,01:19.51
453,84.93,01:19.52
454,84.89,01:19.53
455,84.85,01:19.54
456,84.82,01:19.55
457,84.78,01:19.56
458,84.74,01:19.57
459,84.71,01:19.58
460,84.67,01:19.59
461,84.63,01:19.60
462,84.60,01:19.61
463,84.56,01:19.62
464,84.52,01:19.63
465,84.49,01:19.64
466,84.45,01:19.65
467,84.41,01:19.66
468,84.37,01:19.67
469,75.32,01:22.02
470,75.28,01:22.03
471,75.24,01:22.04
472,75.20,01:22.05
473,75.16,01:22.06
474,75.12,01:22.07
475,75.08,01:22.08
476,75.04,01:22.09
477,75.00,01:22.10
478,74.96,01:22.11
479,74.92,01:22.12
480,74.87,01:22.13
481,74.83,01:22.14
482,74.79,01:22.15
483,74.75,01:22.16
484,74.70,01:22.17
485,74.66,01:22.18
486,74.62,01:22.19
487,74.58,01:22.20
